S,P,A,H,R
0.8889970728028107,0.09442338079413386,0.004540294131397371,0.004446223233290059,0.0075930290383680555
0.8888969870493972,0.09441242527431075,0.004490754902290348,0.004600032847037287,0.007599799926964447
0.8887945215189356,0.09440120732809881,0.004440504776900525,0.004758243356810768,0.00760552301925434
0.8886896093078793,0.09438971966709982,0.004389550169814602,0.004920924876180936,0.007610195979025355
0.888582182547748,0.09437795490203281,0.00433789984458389,0.005088146057078478,0.0076138166485568304
0.8884721724340947,0.09436590554601981,0.004285564916688752,0.005259974010294272,0.007616383092902521
0.8883595092567472,0.09435356401800021,0.004232558848516046,0.0054364742330676495,0.007617893643668916
0.8882441224312039,0.0943409226462594,0.004178897436043599,0.0056177105443585154,0.007618346942134667
0.8881259405310524,0.09432797367205624,0.004124598786977721,0.005803745028360928,0.007617741981552779
0.8880048913212749,0.09431470925333313,0.004069683290145407,0.005994637986772158,0.007616078148474534
0.8878809017922916,0.09430112146849168,0.004014173576001857,0.006190447900282398,0.0076133552629325365
0.8877538981945914,0.09428720232021655,0.003958094468175568,0.006391231399696599,0.007609573617319938
0.8876238060737883,0.09427294373932922,0.003901472926036996,0.006597043247041773,0.0076047340138037595
0.8874905503059413,0.09425833758865322,0.003844337978341974,0.00680793632695122,0.0075988378001123945
0.8873540551329684,0.09424337566687195,0.0037867206480670934,0.007023961648551924,0.0075918869035407595
0.8872142441979849,0.0942280497123601,0.003728653868620352,0.00724516835801356,0.0075838838630212495
0.8870710405803923,0.09421235140696953,0.003670172391675971,0.007471603761847807,0.007574831859114553
0.8869243668305458,0.09419627237975076,0.0036113126869465957,0.007703313360975609,0.0075647347417815095
0.8867741450038268,0.09417980421059097,0.0035521128342685393,0.007940340895508397,0.007553597055805499
0.8866202966939521,0.09416293843375038,0.0034926124084356212,0.008182728400117788,0.007541424063744225
0.8864627430653498,0.09414566654127872,0.0034328523572739,0.008430516269797537,0.007528221766300244
0.8863014048844399,0.09412797998629445,0.003372874873502622,0.008683743335752303,0.007513996920010965
0.8861362025496627,0.09410987018611015,0.0033127232609754965,0.008942446951080646,0.007498757052171169
0.8859670561201024,0.0940913285251879,0.003252441795940458,0.009206663085855334,0.007482510472914129
0.8857938853425613,0.09407234635790981,0.0031920755839950333,0.009476426431142921,0.007465266284391181
0.8856166096769512,0.0940529150111499,0.0031316704134478645,0.009751770511447409,0.007447034387003875
0.885435148319874,0.09403302578663415,0.003071272605824639,0.010032727805009857,0.007427825482657599
0.8852494202262762,0.09401266996307742,0.0030109288642783515,0.010319329871347769,0.007407651075020605
0.8850593441290716,0.09399183879808663,0.0029506861206793863,0.01061160748537501,0.007386523466787686
0.88486483855664,0.09397052352982149,0.002890591382170205,0.010909590777405543,0.007364455753963037
0.8846658218481186,0.0939487153784047,0.0028306915779725012,0.01121330937831235,0.0073414618171921886
0.884462212166418,0.0939264055470759,0.0027710334072315298,0.011522792569086952,0.007317556310187992
0.8842539275089074,0.09390358522308434,0.0027116631886730832,0.011838069434024951,0.007292754645310502
0.8840408857157258,0.09388024557831702,0.002652626712833426,0.012159169016749039,0.0072670729763750315
0.8838230044756884,0.0938563777696607,0.002593969097601617,0.012486120478273065,0.00724052817877658
0.8836002013297748,0.09383197293909726,0.0025357346477873693,0.012818953256308822,0.007213137827032163
0.8833723936721942,0.09380702221353371,0.0024779667193961835,0.013157697225021194,0.007184920169855144
0.8831394987490392,0.09378151670436942,0.0024207075892573827,0.013502382854446935,0.007155894102887491
0.8829014336545513,0.09375544750680458,0.0023639983306101985,0.013853041368807535,0.007126079139226779
0.8826581153250348,0.09372880569889522,0.0023078786952087154,0.014209704902966934,0.007095495377894718
